epoch,train_loss,val_loss
0,0.14488528185455982,0.4489306575265424
1,0.07112128395129015,0.5128797046069441
2,0.06342933774525682,0.44219508877602115
3,0.059364880709087145,0.751638130946406
4,0.057165560071852965,0.3430793823867009
5,0.05284684513647395,0.2054289205553781
6,0.04996366777960311,0.186130546982368
7,0.04894616574035715,0.1649180516777239
8,0.047470972981177764,0.18374967038077464
9,0.047104338555864045,0.15910439489044023
10,0.04613274689464964,0.1593317001267208
11,0.045604158109867426,0.1958558125373233
12,0.04457171118873007,0.15449233679141014
13,0.044089820149641835,0.23069698681075382
14,0.04526595406420197,0.13679930146317928
15,0.04397143762884081,0.15719581591406964
16,0.04331655709036425,0.146018676764677
17,0.042229427678806046,0.16225755255416452
18,0.041851736870785236,0.1589346994276576
19,0.04122199196494624,0.13810234083794057
20,0.04151652384808357,0.16874688812049812
21,0.04124285428122403,0.17305938500312865
22,0.040072542374518676,0.186256506350614
23,0.04338504133975123,0.2008592798597388
24,0.03969206673270772,0.15315909963803656
25,0.039092380666665524,0.1484358741475219
26,0.039503293980527605,0.12419052738517529
27,0.03900587220970425,0.13158063536804987
28,0.0383926797065949,0.13830131995326403
29,0.04061618494590739,0.27101746210596994
30,0.037825962988637295,0.16843843857264695
31,0.03648847347007799,0.15085370966765496
32,0.0362733445651243,0.15092565113738407
33,0.03603650932330326,0.1762777237315237
34,0.03636405433018055,0.19064293825562964
35,0.035564724574195405,0.17930437629305138
36,0.03512715197547359,0.19061994844182456
37,0.03469523928026282,0.18843034508786355
38,0.03489336239600285,0.15931908154360405
39,0.033798380862653764,0.19511909502769068
40,0.03427879101595663,0.20694324062203132
