epoch,train_loss,val_loss
0,0.2528478326591366,0.7277683977423043
1,0.13289548609399116,1.3291194853597674
2,0.10878366910571934,0.5646095059442752
3,0.08581155795544226,0.5875339741047857
4,0.07314949469398475,0.7804881793286266
5,0.0724644555233804,0.4529090756132942
6,0.060331355020032,0.48611632449680875
7,0.07188540846175795,0.5638424146350409
8,0.06599113900619501,0.9312500641199535
9,0.05644261326355305,0.46591066423450306
10,0.05091967735499303,0.3019763283166585
11,0.05177841308973265,0.33507597812306905
12,0.04873475617664383,0.21605282032155784
13,0.048774571591281,0.2355209390167147
14,0.04676691366362912,0.2401276890802647
15,0.045703222895449494,0.2758779798927396
16,0.04633205645317594,0.5480153088104622
17,0.043983076355435,0.596189410263544
18,0.046722981451268505,0.4545378728448574
19,0.04448616236727187,0.490351323420503
20,0.041441717316228865,0.28174549275286626
21,0.04575930997636335,0.32360614155467343
22,0.0430349133304468,0.40603625958239464
23,0.04145475282415137,0.22270027365182238
24,0.05337191767884342,0.2870012174023251
25,0.04355079322380738,0.31125587578503505
26,0.03905222247909717,0.28215434720467325
27,0.03849803064622095,0.22681970037979662
28,0.03800533446283428,0.19242384240468158
29,0.03749123773315558,0.2530712606581713
30,0.036835878285164214,0.4050397627932184
31,0.03438570268900734,0.15901842807120245
32,0.035264712629122966,0.273156913868854
33,0.0393387530045844,0.39729524888705625
34,0.03609292642962015,0.23975868029656147
35,0.03290427167256289,0.276506950204445
36,0.031326653181498944,0.31802631155759103
37,0.03187848504457348,0.39619364885008657
38,0.03308923021700252,0.37880522769580527
39,0.030415688526797383,0.5673857028077778
40,0.03168199102797227,0.45620050480008284
